Company Name,Summary
CHUM Limited,"CHUM Limited was a Canadian media company based in Toronto, Ontario in operation from 1945 to 2007. The company was founded in 1945 as York Broadcasters Limited when it launched CHUM-AM 1050 but was acquired by salesman Allan Waters in 1954. CHUM had expanded to and owned 33 radio stations across Ca"
Cineplex Entertainment,"Cineplex Inc. (formerly Cineplex Galaxy) is a Canadian movie theatre and family entertainment centre chain headquartered in Toronto. 
The company was formed in 2003 via the acquisition of Loews Cineplex's Canadian operations (which included the assets of the former Cineplex Odeon chain) by Onex Corp"
Cirque du Soleil,"Cirque du Soleil (French: [siʁk dy sɔlɛj], Quebec [sɪʁk dzy sɔlɛj]; ""Circus of the Sun"" or ""Sun Circus"") is a Canadian entertainment company and the largest contemporary circus producer in the world. Located in the inner-city area of Saint-Michel, it was founded in Baie-Saint-Paul on 16 June 1984 by"
CityWest,"CityWest Cable and Telephone Corporation, operating as CityWest, is a municipally-owned telecommunications holding company which provides telephone, cable television, and internet services in Prince Rupert, British Columbia, Canada and the surrounding regions. CityWest also purchased Monarch Cablesy"
Coachman Insurance Company,"Coachman Insurance Company is a Canadian insurance company founded in 1979 and based in Ontario. Coachman was purchased by SGI Canada Insurance Services, a subsidiary of Saskatchewan Government Insurance, in 2001.Coachman serves the ""non-standard"" (high-risk) market for automobile insurance, such as"
Coast Capital Savings,"Coast Capital Savings Federal Credit Union (formerly Coast Capital Savings Credit Union) is a member-owned financial co-operative headquartered in Surrey, British Columbia. By membership, it is among the largest credit unions in Canada with 535,000 members and $25.2 billion in assets. Coast Capital "
Coffee Time,"Coffee Time is a chain of Canadian snack and coffee shops, headquartered in Scarborough, Ontario. Coffee Time operates over 100 stores across Canada in Ontario and Alberta. Coffee Time serves coffee along with other specialty drinks, baked goods, breakfast sandwiches, and deli sandwiches and soup."
Cognos,"Cognos Incorporated was an Ottawa, Ontario-based company making business intelligence (BI) and performance management (PM) software.  Founded in 1969, at its peak Cognos employed almost 3,500 people and served more than 23,000 customers in over 135 countries until being acquired by IBM on January 31"
Colt Canada,"Colt Canada (formerly called Diemaco) is the Canadian division of American firearms manufacturer Colt located in Kitchener, Ontario, Canada.
The facility produces small arms for the Canadian Armed Forces, Canadian law enforcement agencies In addition, the company exports firearms internationally. Kn"
Comm100,"Comm100 (Comm100 Network Corporation) is a provider of customer service and communication products. All its products are available as a SaaS (Software as a Service).  The company serves over 200,000 businesses."
Commodore Books,"Commodore Books is the first Black Canadian literary press in Western Canada. Founded in 2006 by Wayde Compton, Karina Vernon and David Chariandy, this press is dedicated to publishing work relevant to black people in Canada. 
Adventures in Debt Collection, by Vancouver-based author Fred Booker, is "
Conestoga-Rovers & Associates,"Conestoga-Rovers & Associates (CRA) is a group of companies that provides engineering, environmental consulting, construction, and information technology (IT) services.  On July 2, 2014 CRA became a division of the GHD Group.  Its current overall headquarters is located in Waterloo, Ontario, however"
Conexus Credit Union,"Conexus Credit Union is one of Saskatchewan's largest credit unions. Conexus has over $8 billion in consolidated assets, more than 120,000 members, and 30 branches across the province. More than 900 employees and sales professionals are located throughout the province."
Continental Newspapers,"Continental Newspapers, formally known as Continental Newspapers Canada Ltd., is a Canadian daily newspaper publisher based in Kelowna, British Columbia. It publishes two British Columbia dailies and The Chronicle-Journal of Thunder Bay, Ontario.
Continental is one of two Canadian newspaper companie"
Cookie Jar Group,"Cookie Jar Entertainment Inc. (also known as Cookie Jar Group and originally known as CINAR; renamed as DHX Cookie Jar Inc. from 2012 until 2014, or simply just Cookie Jar) was a Canadian media production and distribution company owned by DHX Media (now WildBrain). The company was first established "
Corby Spirit and Wine,"Corby Spirit and Wine Limited is a Canadian alcohol manufacturing and distribution company. It was founded in 1859 in Corbyville, Ontario. As of 2008, the company is 46% owned by Pernod Ricard.  The company distills several Canadian specialities, as well as marketing Pernod Ricard's products in Cana"
Cordiant Capital Inc.,"Cordiant Capital (commonly referred to as Cordiant) is a sector-focused investor in infrastructure private equity and private debt. The firm has offices in Montreal, London, Sao Paulo and Luxembourg and manages ~$2 billion on behalf of institutional investors."
Corel,"Corel Corporation ( kə-REL; from the abbreviation ""Cowpland Research Laboratory"") is a Canadian software company headquartered in Ottawa, Ontario, specializing in graphics processing. It is known for producing software titles such as CorelDRAW, and for acquiring AfterShot Pro, PaintShop Pro, Painter"
Corus Entertainment,"Corus Entertainment Inc. is a Canadian multinational mass media and entertainment conglomerate company headquartered at the Corus Quay in Toronto, Ontario. Formed in 1999 as a spin-off from Shaw Communications, it has prominent holdings in the radio, publishing, and television industries.
Corus has "
Cossette Inc.,"Cossette is a Canadian marketing communications company headquartered in Quebec City, Quebec.[1]
Cossette was initially launched as a graphic design firm by Claude Cossette in June 1964 under the name ""Cossette et associés, graphiste-conseils."" It was relaunched in May 1972 as ""Cossette Communicatio"
Coteau Books,"Coteau Books was a small, non-profit literary press based in Regina, Saskatchewan, Canada. It was established in 1975 by Bob Currie, Gary Hyland, Barbara Sapergia and Geoffrey Ursell when they realized that there was little opportunity for Saskatchewan writers to get published, especially first-time"
Cott,"Primo Water Corporation (formerly Cott Corporation) is an American-Canadian water company offering multi-gallon bottled water, water dispensers, self-service refill water machines, and water filtration appliances. The company is headquartered in Tampa, Florida, and services residential and commercia"
Country Style,"Country Style Food Services, Inc., formerly Country Style Donuts, is a fast/casual chain of coffee shops operating primarily in the Canadian province of Ontario (where it ranks second among coffee chains), which serves oatmeal, soup, sandwiches, salads, and coffee. The chain is based in Richmond Hil"
Creation Technologies,"Creation Technologies LP is a global electronics manufacturing services (EMS) provider headquartered in Boston, Massachusetts, USA.
Creation provides full service electronics solutions to a group of original equipment manufacturers (OEMs) across North America and Asia, and has 14 manufacturing opera"
Crestline Coach,"Crestline Coach Ltd. is an ambulance manufacturer located in Saskatoon, Saskatchewan, Canada, with offices in Alberta, Manitoba, Ontario, Quebec, and California. The company manufactures ambulances and specialty vehicles, and also distributes buses.  The company has manufactured vehicles that have b"
Expedia CruiseShipCenters,"Expedia Cruises is a travel agency franchise company established in 1987, specializing in marketing and sales of air, land & cruise vacations. Through its network of 300 independently owned retail locations and 7,000+ Vacation Consultants in North America, the company has year over year grown in sal"
CSA Group,"The CSA Group (formerly the Canadian Standards Association; CSA) is a standards organization which develops standards in 57 areas. CSA publishes standards in print and electronic form, and provides training and advisory services. CSA is composed of representatives from industry, government, and cons"
CTBC Bank (Canada),CTBC Bank (Chinese: 中國信託商業銀行; pinyin: Zhōngguó Xìntuō Shāngyè Yínháng) is amongst the largest privately owned banks in Taiwan.
CTV Television Network,"The CTV Television Network, commonly known as CTV, is a Canadian English-language terrestrial television network. Launched in 1961 and acquired by BCE Inc. in 2000, CTV is Canada's largest privately owned television network and is now a division of the Bell Media subsidiary of BCE."
Cymax Stores,"Cymax Group Technologies Ltd. is a privately held eCommerce company headquartered in Burnaby, British Columbia, Canada. The Cymax Group of brands includes two retail websites, Cymax Business and Home Square, which sell furniture and decor; plus Freight Club and Channel Gate, which are eCommerce logi"
Cyntech,"Cyntech Group provides high-capacity helical pile, helical rigid inclusion and pipeline anchor engineering and manufacturing services for industrial markets."
Dairyland Canada,"Dairyland is a dairy business that operates in Port Coquitlam, British Columbia. Now owned by Saputo Dairy Foods Canada, Dairyland was originally an operating arm of BC dairy farmers' cooperatives and was legally named Agrifoods International Cooperative Ltd. at the time of the sale of the majority "
Daiya,"Daiya Foods Inc. is a Canada-based dairy-alternative food company located in Burnaby, British Columbia. The company was established in 2008 by Andre Kroecher and Greg Blake. Daiya's original (and likely its best known) products are cheese analogues made from coconut oil and tapioca flour that are kn"
Dare Foods,"Dare Foods, Limited is a Canada-based food manufacturing company. They have seven factories in Canada and the United States. Their products are distributed in North America and at least 25 other countries."
Dart Flipcards,"Dart Flipcards Inc. is or was a Canadian company that markets a line of novelty Mini Lunch Boxes, with licensed images on them. Based out of St. Laurent, Quebec, Dart's lunch boxes are filled with chewing gum, made in Canada, inside Chinese made tins, and are packaged in Canada."
Delta Hotels,Delta Hotels by Marriott is a four-star brand of hotels and resorts located primarily in North America.
Descartes Systems Group,"The Descartes Systems Group Inc. (commonly referred to as Descartes) is a Canadian multinational technology company specializing in logistics software, supply chain management software, and cloud-based services for logistics businesses.
Descartes is perhaps best known for its abrupt and unexpected t"
Desjardins Group,"The Desjardins Group (French: Mouvement Desjardins) is a Canadian financial services cooperative and the largest federation of credit unions (French: caisses populaires) in North America. It was founded in 1900 in Lévis, Quebec by Alphonse Desjardins. While its legal headquarters remains in Lévis, m"
DHX Media,"WildBrain Ltd. (formerly DHX Media, Ltd.) is a Canadian media, production, and brand licensing company, mostly associated as an entertainment company. The company is known for owning the largest library of children's television programming, which is distributed through its multi-channel network, Wil"
Digital Extremes,"Digital Extremes is a Canadian video game developer founded in 1993 by James Schmalz. They are best known for creating Warframe, a free-to-play cooperative online action game, and co-creating Epic Games' Unreal series of games. Digital Extremes is headquartered in London, Ontario. In 2014, 61% of th"
Digitcom,"Digitcom Canada Inc. is a Canadian company that works in phone systems and data networks distributor. Primarily serving the greater Toronto, Montreal, and Southern Ontario small and midsize enterprise (SME) markets, Digitcom provides sales and support for telecommunications systems. Digitcom also ru"
Discovery Air Defence,"Top Aces Inc. is a Montreal, Quebec-based defence contractor that offers contracted airborne training services to the Canadian Armed Forces through the Contracted Airborne Training Services (CATS) program. Top Aces operates a fleet of modernized fighter aircraft to provide Red Air threat replication"
Discovery Air,"Discovery Air (DA), founded in 2004, was a specialized aviation company that operated primarily in Canada."
Dofasco,"ArcelorMittal Dofasco is a steel company based in Hamilton, Ontario, Canada. Dofasco is a standalone subsidiary of ArcelorMittal, the world's largest integrated steel producer."
Dollarama,Dollarama is a Canadian dollar store retail chain headquartered in Montreal. Since 2009 it is Canada's largest retailer of items for four dollars or less. Dollarama has over 1400 stores and has a presence in every province of Canada; Ontario has the most stores.
Dominion Voting Systems,"Dominion Voting Systems Corporation is a company that sells electronic voting hardware and software, including voting machines and tabulators, in the United States and Canada. The company's headquarters are in Toronto, Ontario, and Denver, Colorado. It develops software in offices in the United Stat"
Domtar,"Domtar Corporation is a Canadian company that manufactures and markets wood fiber-based paper and pulp product. The company operates pulp and paper mills in Windsor, Quebec, Dryden, Ontario, Kamloops, British Columbia, Ashdown, Arkansas, Hawesville, Kentucky, Plymouth, North Carolina, and Marlboro C"
Donner Metals,"Sphinx Resources Ltd. (formerly Donner Metals Ltd.) is a Canadian company focused on exploration of precious and base metals within mining rights in Quebec. It is listed on the TSX Venture Exchange. The company was formerly named Donner Metals Ltd., headquarters are in Vancouver, and active in other"
DreamCatcher Games,"DreamCatcher Interactive Inc. (also known as DreamCatcher Games) was a Canadian video game publisher founded in 1996 by Richard Wah Kan. In 2006, the company became a subsidiary of JoWooD Entertainment. In 2011, the company went into administration along with its parent JoWooD and all assets were pu"
D-Wave Systems,"D-Wave Systems Inc. is a Canadian quantum computing company, based in Burnaby, British Columbia, Canada. D-Wave was the world's first company to sell computers to exploit quantum effects in their operation.  D-Wave's early customers include Lockheed Martin, University of Southern California, Google/"
Dynamotive Energy Systems,"Dynamotive Energy Systems Corporation is a Canadian based Renewable Energy Company which specializes in fast pyrolysis, a process which creates a product named BioOil.  Its only other residue is char."
Dynamsoft,"Dynamsoft Corp. is a multinational software development company with its headquarter in Vancouver, Canada. It provides software development kit (SDK) for document capture and barcode applications for various usage scenarios. These SDKs help developers meet document imaging, scanning and barcode read"
DynaVenture,DynaVenture Corp. was formed in 2000 by second generation family members Brian and Earl Eidem and Jo-Ann Thompson. Founding father Harold Eidem started the 60 year dynasty in 1948 in his Vancouver home with his first business Bearing and Transmission Supply (B&T). In 1973 Harold Eidem set up B&T Hol
EA Black Box,"EA Black Box (formerly Black Box Games) was a video game developer based in Burnaby, British Columbia, Canada, founded in 1998 by former employees of Radical Entertainment and later acquired by Electronic Arts (EA). The developers are primarily known for the Need for Speed and Skate series. It was r"
EA Vancouver,"EA Vancouver (formerly known as EA Burnaby, then EA Canada) is a Canadian video game developer located in Burnaby, British Columbia. The development studio opened as Distinctive Software in January 1983, and is also Electronic Arts's largest and oldest studio. EA Vancouver employs approximately 1,30"
Ebco Industries,"Ebco Industries is a custom-manufacturing company based in Richmond, British Columbia. Ebco was founded by Helmut and Hugo Eppich in 1956 as a small Tool and Die shop, and it has subsequently expanded into a 300,000 sq. ft. manufacturing facility for domestic and international markets  providing:
he"
Elastic Path,"Elastic Path is a headless commerce system, allowing template-less eCommerce to be integrated as middleware into Enterprise ERP systems. The system is API based and is specifically targeted towards Enterprise level Organisations. Elastic Path is a private company based in Vancouver, British Columbia"
Electrohome,"Founded in 1907, Electrohome was Canada's largest manufacturer of television sets (TVs) from 1949 to 1984. The company was also involved in television broadcasting, and was a leader in data, video, graphics displays and projectors.
From 1984 to 1999, Electrohome-branded TVs were produced under licen"
EllisDon,"EllisDon is an employee-owned construction services company that was founded and incorporated in 1951 in London, Ontario, Canada, by brothers Don and David Ellis Smith. The company is headquartered in Mississauga, Ontario, Canada."
Emera,"Emera Incorporated is a publicly traded Canadian multinational energy holding company based in Halifax, Nova Scotia. Created in 1998 during the privatization of Nova Scotia Power, a provincial Crown corporation, Emera now invests in regulated electricity generation as well as transmission and distri"
Enbridge,"Enbridge Inc. is a multinational pipeline company headquartered in Calgary, Alberta, Canada. Over time, it has continued to grow through the acquisition of other existing pipeline companies and the expansion of their projects. It owns and operates pipelines throughout Canada and the United States, t"
Encana,"Ovintiv Inc. is a hydrocarbon exploration and production company organized in Delaware and headquartered in Denver, United States. It was founded and headquartered in Calgary, Alberta, and was the largest energy company and largest natural gas producer in Canada. The company was rebranded as Ovintiv"
Engineered Lifting Systems & Equipment,"Engineered Lifting Systems & Equipment Inc (ELS) is a Canadian manufacturing company specializing in standard and custom overhead material lifting systems and equipment. ELS was founded in by Jim Muir in Waterloo, Ontario and its headquarters is currently located in Elmira, Ontario."
Enwave,"Enwave Energy Corporation is a Canadian energy company headquartered in Toronto that provides sustainable district energy solutions including heating, cooling, hot water, combined heat and power, geoexchange, energy storage, sewer heat, waste-to-energy, biomass, solar energy systems. It is one of th"
Esprida,"Esprida is a privately held company that creates and markets remote device management middleware built on a service-oriented architecture (SOA) platform.
Esprida software enables communication between devices and users via the Internet. From a single computer, a user is able to send and receive mess"
F&P Manufacturing Inc.,"F&P Manufacturing Inc. abbreviated F&P Mfg Inc. is a Japanese automotive parts supplier based in North America. They make components such as subframes, trailing arms, Lower Arm and Pedals for Honda, Toyota and General Motors vehicles. F&P Mfg inc. operates plants in Tottenham, Ontario, Canada and St"
Fairchild Group,"The Fairchild Group (traditional Chinese: 新時代集團; simplified Chinese: 新时代集团; pinyin: Xīnshídài Jítuán; Jyutping: San1si4doi6 Zaap6tyun4) is a Canadian business conglomerate, with headquarters in Vancouver, British Columbia, Canada. Fairchild Group operates various media properties under the Fairchild"
Fairchild TV,"Fairchild TV or FTV is a Canadian Cantonese language exempt specialty channel. It is owned by Fairchild Group, with Hong Kong broadcaster TVB holding a 20% minority stake. Fairchild TV has studios in the Greater Toronto Area (Richmond Hill, Ontario) and Greater Vancouver (inside Aberdeen Centre in R"
Fairfax Financial,"Fairfax Financial Holdings Limited is a financial holding company based in Toronto, Ontario, which is engaged in property, casualty, insurance and reinsurance, investment management, and insurance claims management. The company operates primarily through several subsidiaries, including Allied World,"
Fairmont Hotels and Resorts,"Fairmont Hotels & Resorts is a global chain of luxury hotels that operates more than 70 properties worldwide, with a strong presence in Canada.The company originated from two hotel businesses established in the late 19th century, the Canadian Pacific Limited owned Canadian Pacific Hotels & Resorts, "
Falconbridge Ltd.,"Falconbridge Limited was a Toronto, Ontario-based natural resources company with operations in 18 countries, involved in the exploration, mining, processing, and marketing of metal and mineral products, including nickel, copper, cobalt, and platinum. It was listed on the TSX (under the symbol FAL.LV"
Farmers of North America,"Farmers of North America (""FNA""), incorporated as Farms and Families of North America Inc., has been characterized as a volume-buyer group, but that function is only one of its strategies for meeting its mission, ""Maximizing Farm Profitability.""
Recent examples unrelated to ""volume buying"" widely re"
Federated Co-operatives,"Federated Co-operatives Limited (FCL), operating as Co-op, is a co-operative federation providing procurement and distribution to member co-operatives in Western Canada. It was established in 1944 after a series of amalgamations of smaller cooperatives, starting in Saskatchewan, including the Saskat"
Federated Insurance Company of Canada,"Federated Insurance Company of Canada (""Federated Insurance"") is a direct writer of property and casualty insurance products headquartered in  Winnipeg, Manitoba, Canada. The Company has approximately 370 employees in nine offices across Canada, with approximately 150 in Winnipeg. Federated Insuranc"
FGL Sports,"FGL Sports Ltd. is a Canadian sporting goods retailer based in Calgary, Alberta. It operates under these corporate banners: Sport Chek, Atmosphere (renamed from Coast Mountain Sports), Sport Mart (all stores closed as of March 2013), National Sports, Pro Hockey Life, Athletes World (all stores close"
Fido Solutions,"Fido Solutions Inc. is a Canadian cellular telephone service provider owned by Rogers Communications Canada. Although Fido's parent company, Rogers Communications, also operates another cellular service Rogers Wireless, Fido remains a separate entity and retains its own retail chain, customer servic"
Finning,"Finning is the world's largest Caterpillar dealer, selling, renting and providing parts and service for equipment and engines to customers across diverse industries, including mining, construction, petroleum, forestry and a wide range of power systems applications.
Finning employs more than 13,000 p"
First Air,"Bradley Air Services Limited, operating as First Air, was an airline headquartered in Kanata, a suburb of Ottawa, Ontario, Canada. It operated services to 34 communities in Nunavut, Nunavik, and the Northwest Territories. First Air has assisted in various humanitarian missions such as the 2010 Haiti"
First Majestic Silver,"First Majestic Silver Corp. is a Canadian silver-mining company that operates in Mexico and the United States. It has four producing mines under its control: San Dimas Silver/Gold Mine, Santa Elena Silver/Gold Mine, La Encantada Silver Mine, and Jerritt Canyon Gold Mine. First Majestic also produces"
First Nations Bank of Canada,First Nations Bank of Canada (FNBC) (French: La Banque des Premières Nations du Canada) is the first Canadian chartered bank to be independently controlled by Indigenous shareholders.  FNBC is a Schedule 1 Federally Regulated Bank in accordance with the Bank Act and received its charter on 19 Novemb
First West Credit Union,"First West Credit Union (First West) is British Columbia’s third largest credit union with nearly $16.9 billion in total assets and assets under administration and more than 250,000 members. Its core business is traditional banking, the provision of personal and business daily banking services. Firs"
Flickr,"Flickr ( FLI-kər; pronunciation ) is an American image hosting and video hosting service, as well as an online community, founded in Canada and headquartered in the United States. It was created by Ludicorp in 2004 and was a popular way for amateur and professional photographers to host high-resolut"
Force Four Entertainment,"Force Four Entertainment is a Canadian film and television production company based in Vancouver.Force Four Entertainment began operations in 1983, and has now produced more than 500 hours of primetime broadcast programming, earning accolades on the national and international stage.
The company’s te"
Ford Motor Company of Canada,"Ford Motor Company of Canada, Limited (French: Ford du Canada Limitée) was founded on August 17, 1904, for the purpose of manufacturing and selling Ford automobiles in Canada and the British Empire. It was originally known as the Walkerville Wagon Works and was located in Walkerville, Ontario (now p"
Fort Garry Brewing Company,"The Fort Garry Brewing Company Ltd is a brewery in Winnipeg, Manitoba, Canada."
Fortis Inc.,"Fortis Inc. is a St. John's, Newfoundland and Labrador-based international diversified electric utility holding company. It operates in Canada, the United States, Central America,  and the Caribbean. In 2015, it earned $6.7 billion CAD.Fortis was formed in 1987, when shareholders of the regulated tr"
FortisBC,"FortisBC is an electricity and natural gas distribution utility in the Canadian province of British Columbia, a subsidiary of Newfoundland-based Fortis Inc., Canada’s largest private utility company. In March 2011, Terasen Gas, British Columbia's largest natural gas distributor, was renamed FortisBC"
Four Seasons Hotels and Resorts,"Four Seasons Hotels Limited, trading as Four Seasons Hotels and Resorts, is an international luxury hotel and resort company headquartered in Toronto, Ontario, Canada. Four Seasons operates more than 100 hotels and resorts worldwide. Since 2007, Bill Gates (through Cascade Investment) and Prince Al-"
French Shoes,"French Shoes was a shoe chain headquartered in Montreal, Quebec. It began in 1956, with its last location closing in the 1990s. 
French Shoes featured stylish and affordable women's shoes, growing to 30 locations throughout the provinces of Quebec and Ontario. 
The founder of French Shoes was Seymou"
Freedom Mobile,"Freedom Mobile Inc. is a Canadian wireless telecommunications provider owned by Shaw Communications. It has 6% market share of Canada, mostly in urban areas of Ontario, British Columbia and Alberta. Freedom Mobile is the fourth-largest wireless carrier in Canada, with 2,188,845 subscribers as of Feb"
FreshBooks,"FreshBooks is accounting software operated by 2ndSite Inc. primarily for small and medium-sized businesses. It is a web-based software as a service (SaaS) model, that can be accessed through a desktop or mobile device.
The company was founded in 2003 and is based in Toronto, Canada."
Freshslice Pizza,Freshslice Pizza is a Canadian pizza chain and franchise founded by Ray Russell in 1999. The franchise owns 77 branches across Canada. They are known for their pizza by the slice.
Ganz,"The Ganz Works or Ganz (Hungarian: Ganz vállalatok or Ganz Művek, Ganz companies, formerly Ganz and Partner Iron Mill and Machine Factory) was a group of companies operating between 1845 and 1949 in Budapest, Hungary. It was named after Ábrahám Ganz, the founder and the manager of the company. It is"
Garage,Garage may refer to:
General Motors Canada,"General Motors of Canada Company (French: La Compagnie General Motors du Canada), commonly known as GM Canada, is the Canadian subsidiary of General Motors. It is headquartered in Oshawa, Ontario, Canada.
In the aftermath of the 2008 financial crisis, GM Canada received a combined loan commitment of"
Geosoft,"Geosoft Incorporated is a software development and services company headquartered in Toronto, Canada.  The company provides geophysical and geological software and geospatial server technology for professional geoscientists involved in natural resource exploration and related earth science disciplin"
Giant Tiger,"Giant Tiger Stores Limited is a Canadian discount store chain which operates over 260 stores across Canada. The company's stores operate under the Giant Tiger banner in Alberta, Manitoba, New Brunswick, Nova Scotia, Ontario, Prince Edward Island and Saskatchewan; under the GTExpress and Scott's Disc"
Glacier Media,"Glacier Media is a Canadian business information and media products company. It provides news, market information and sector-specific data within North America and internationally.
Glacier is headquartered in Vancouver. Its primary operations are in Canada as well as London, England. It is publicly "
Glentel,"Glentel is a Canadian retail firm. Based in Burnaby, the company deals primarily as a retailer of mobile phone services; in Canada, the company operates over 350 wireless outlets under the Tbooth Wireless (La cabine T sans-fil in Quebec, formerly The Telephone Booth) and WIRELESSWAVE (Wave sans fil "
Global Mechanic,"Global Mechanic Media is an interdisciplinary creative studio headquartered in Vancouver, British Columbia, Canada.  It is known for creating various digital and traditional media, feature and short films, television series, commercials, games, installations, interactive experiences, titles, and ori"
GlobeScan,"GlobeScan is a global insights and advisory consultancy. GlobeScan's evidence-based approach generally relies on polling amongst the general public and targeted stakeholders according to the scope of their clients project. Since July 2004, GlobeScan has been a signatory to the United Nations Global "
Goldcorp,"Goldcorp Inc. was a gold production company headquartered in Vancouver, British Columbia, Canada. The company employed about 15,800 people worldwide, engaged in gold mining and related activities including exploration, extraction, processing and reclamation. Goldcorp’s operating assets included four"
GoodLife Fitness,"Goodlife Fitness Centres Inc. is the largest health club company in Canada with over 450 locations across the country, under the banner of four brands."
Great Western Brewing Company,"The Great Western Brewing Company is an independent brewery in Saskatoon, Saskatchewan, Canada.  The company currently produces several varieties of beer and hard seltzer, some of which have received international awards for excellence. With annual production capabilities of >300,000 hectolitres ann"
Groupe Dynamite,"Groupe Dynamite is a Canada-based clothing company founded in 1975 as The Garage Clothing Company. The company creates, designs, markets and distributes from its head office in Montreal, Quebec, and operates over 300 stores across in Canada and the United States, with more than 4,300 employees.In Se"
Guardian Biotechnologies,"Guardian Biotechnologies Inc. is a privately owned plant biotechnology company, founded in August 2002, that operates from its corporate headquarters in Saskatoon, Saskatchewan, Canada."
GuestLogix,"Guestlogix Inc. is a Toronto-based technology company that provides onboard and off-board retail technology and merchandising systems. It was listed on the Toronto Stock Exchange, after being initially listed on the Toronto Venture Exchange in 2007. In February 2016, it entered creditor protection, "
Halogen Software,"Halogen Software was a Canadian company that provided cloud-based talent management solutions to customers with between 100 and 10,000 employees. The firm was founded in 1996 and was headquartered in Ottawa, Ontario, Canada."
Harbour Publishing,"Harbour Publishing is a Canadian independent book publisher.
The company was founded in 1974 by Howard and Mary White, and is based in Pender Harbour, a small town on British Columbia's Sunshine Coast. Harbour mainly publishes books on British Columbian history, culture, wildlife and environment. To"
Harlequin Enterprises,"Harlequin Enterprises ULC (known simply as Harlequin) is a romance and women's fiction publisher founded in Winnipeg, Canada in 1949. From the 1960s, using a combination of high-quality editorial content and dynamic marketing, it grew into the largest publisher of romance fiction in the world. Based"
Harry Rosen Inc.,"Harry Rosen Inc. is a Canadian retail chain of 17 luxury men's clothing stores. A privately owned company, Harry Rosen accounted for 40 percent of the Canadian market in high-end menswear in 2008.Founded by Harry Rosen in 1954, as a single 500-square-foot (46 m2) store in Cabbagetown, Toronto, Harry"
Hart Stores,"Hart Stores Inc. is a mid-sized value-driven department store in Eastern Canada. It was founded in 1960 by Harry Hart, in Rosemère, Quebec. Hart stores is based in the provinces of Quebec, New Brunswick, and Ontario. The head office used to be in the Montreal borough of Anjou but moved to Laval, Que"
Harvey's,"Harvey's is a fast food restaurant chain operating in Canada, with locations in every province. It serves hamburgers, poutine, hot dogs, french fries, onion rings, and other traditional Canadian fast-food fare. The chain is owned by Recipe Unlimited (previously known as Cara Operations).Harvey's is "
Hatch Ltd,"Hatch is a global multidisciplinary management, engineering and development consultancy. Its group companies have more than 9,000 staff in 70+ offices. In 2015, Hatch was ranked as a top 20 International Design Firm according to the Engineering News-Record (ENR) rankings.The company was founded in T"
Hathor Exploration,"Hathor Exploration Limited is a uranium exploration company based in Vancouver, British Columbia, Canada. Its exploration office is located in Saskatoon, Saskatchewan, Canada. Hathor's exploration projects concentrate on properties within the Athabasca Basin of Northern Saskatchewan, Canada.In 2009,"
Haywire Winery,"Haywire Winery is a Canadian Winery located in the Okanagan Valley’s Summerland, British Columbia.  Situated on a 10 acre lot, Haywire sits looking over Okanagan Lake."
Hellbent Games,"Hellbent Games Inc. is a Canadian video game developer based in Burnaby, British Columbia. The company was founded by Christopher Mair, a founder of Rockstar Vancouver, on 12 June 2006, in Vancouver, British Columbia."
Héroux-Devtek,"Héroux-Devtek Inc. is an international company specializing in the design, development, manufacture, repair and overhaul of landing gear, actuation systems and components for the aerospace market. Founded in 1942, the company's head office is located in Longueuil, Quebec. Héroux-Devtek Inc. has more"
Hidden Valley Highlands,"Hidden Valley Highlands Ski Area is a ski and snowboard resort in Huntsville, Ontario, Canada. Hidden Valley offers 15 groomed trails, three quad chairlifts, one handle tow, two snow cats, night skiing and snowboarding, and a terrain park."
Home Hardware,"Home Hardware Stores Ltd. is a privately held Canadian home improvement, construction materials, and furniture retailer. Co-founded in 1964 by Walter Hachborn and headquartered in St. Jacobs, Ontario, the chain is co-operatively owned by over 1100 independently owned member stores, including one of "
Honda Canada Inc.,"Honda Canada Inc. is the Canadian division of the Honda Motor Company. Founded in 1969, Honda has been building cars in Canada since 1986 in Alliston, Ontario and head office in Markham, Ontario."
HSBC Bank Canada,"HSBC Bank Canada (French: Banque HSBC Canada), formerly the Hongkong Bank of Canada (HBC), is the Canadian subsidiary of British multinational banking and financial services company HSBC. HSBC Canada is the seventh largest bank in Canada, with offices in every province except Prince Edward Island, a"
Hudbay Minerals,"Hudbay Minerals Inc. is a diversified Canadian mining company primarily producing copper concentrate (containing copper, gold, and silver) and zinc metal. Much of its history has centered on Flin Flon, Manitoba, where it has mined for over 90 years. Hudbay currently has operations in Manitoba and Pe"
Hudson Boatworks,"Hudson Boat Works is a rowing racing shell manufacturer based in London, Ontario. Jack Coughlan and his brother-in-law Hugh Hudson founded the company in 1981. In March 2007, Hudson began production of their ""Shark"" line of boats.  Designed by Britt Chance, US Naval Architect, Luis Tarrataca, Hudson"
Hudson's Bay Company,"The Hudson's Bay Company (HBC; French: Compagnie de la Baie d'Hudson) is a historically Anglo-Canadian but now American-owned retail business group. A fur trading business for much of its existence, HBC now owns and operates retail stores in Canada and the United States.In 2006, an American business"
Husky Energy,"Husky Energy Inc. is a company engaged in hydrocarbon exploration, headquartered in Calgary, Alberta, Canada. It operates in Western and Atlantic Canada, the United States and the Asia Pacific region, with upstream and downstream business segments. In the 2020 Forbes Global 2000, Husky Energy was ra"
